직업명,임금(만원)
금형원,2628 
부동산중개인,2615 
샷시원,2611 
판금원,2610 
조림•영림 및 벌목원,2600 
코디네이터,2597 
가죽제품제조원,2596 
컴퓨터애니메이터,2596 
일반영업원,2585 
출판 및 자료편집사무원,2580 
기술 및 기능계 학원강사,2579 
영양사,2575 
귀금속 및 보석세공원,2573 
직조기 및 편직기조작원,2570 
영사기사,2560 
작사가,2552 
동물사육사,2548 
사무기기설치 및 수리원,2543 
주조원,2543 
재단기조작원,2537 
소각로관련 장치조작원,2528 
목공,2526 
애니메이션기획자,2523 
플라스틱제품조립 및 검사원,2522 
위생사,2515 
제도사(캐드원),2514 
양식조리사,2513 
자동차정비원,2506 
경기심판,2503 
법률행정사무원,2489 
"바닥재시공원(마루설치원,타일부착원)",2489 
기획사무원,2486 
행사기획자,2482 
공군부사관,2481 
악기수리원 및 조율사,2472 
교육과학용 응용소프트웨어엔지니어,2467 
웹디자이너,2464 
운송 및 운반관련 노무자,2448 
가구조립 및 검사원,2445 
냉난방관련 설비조작원,2445 
비금속광물가공관련 조작원,2433 
선박기관사,2427 
공구제조원(차공구포함),2425 
구매인(바이어),2425 
의복제품검사원,2422 
놀이치료사,2417 
운동선수,2416 
계기검침원,2413 
경기기록원,2411 
버스운전사,2409 
시장 및 여론조사관련 사무원,2400 
작업치료사,2399 
카지노딜러,2397 
의료장비 및 의료용품기술영업원,2394 
주얼리(장신구)디자이너,2393 
게임기획자,2386 
치과기공사,2380 
연근해어부 및 해녀,2379 
직업능력개발훈련교사,2376 
장례지도사,2375 
보석감정사,2374 
종이제품제조관련 조작원,2369 
사서,2368 
만화가,2367 
회의기획자,2367 
석공,2361 
자가용운전기사,2359 
치과위생사,2354 
지게차운전원,2353 
캐릭터디자이너,2353 
게임디자이너,2350 
일식조리사,2344 
제화원,2344 
금속가공관련 조작원,2328 
선박승무원,2319 
식품검사원 및 등급원,2318 
배관공,2317 
공작기계조작원,2313 
육군장교,2310 
캐디,2309 
결혼상담원,2308 
육군부사관,2304 
가수,2295 
가전제품수리원,2294 
건물시설관리원,2283 
전자제품제조관련 조작원,2281 
여행상품개발원,2271 
의료코디네이터,2268 
제관원,2267 
제분 및 도정관련 조작원,2266 
레스토랑지배인,2258 
간호사,2252 
외국어학원강사,2251 
연예인매니저,2244 
육•어류 가공 및 낙농제품제조관련 조작원,2231 
게임시나리오작가,2229 
재봉기조작원,2228 
유리 및 유리제품가공관련 조작원,2221 
비파괴검사원,2219 
팬시•완구디자이너,2216 
사회복지사,2211 
직업상담원 및 취업알선원,2186 
사진인화 및 현상관련 조작원,2181 
단조원,2175 
섬유제조원(방적•방사기조작원),2172 
유리공,2171 
학습지방문교사,2170 
음악치료사,2159 
문리학원강사,2156 
안경사,2150 
회계사무원,2145 
제빵 및 제과원,2135 
용접원,2117 
